Authors,Title,Publisher,Year
"Songning Lai, Tianlang Xue, Hongru Xiao, Lijie Hu, Jiemin Wu, Ninghui Feng, Runwei Guan, Haicheng Liao, Zhenning Li, Yutao Yue",Drive: Dependable robust interpretable visionary ensemble framework in autonomous driving,ICRA 2025,2024
"Bowen Tian, Songning Lai, Yutao Yue",PEPL: Precision-Enhanced Pseudo-Labeling for Fine-Grained Image Classification in Semi-Supervised Learning,ICASSP 2025,2024
"Qing Chang, Wei Dai, Zhihao Shuai, 
Yutao Yue",Spatial-Temporal Perception with Causal Inference for Naturalistic Driving Action Recognition,ICASSP 2025,2024
"Runwei Guan, Rongsheng Hu, Zhuhao Zhou, Tianlang Xue, Ka Lok Man, Jeremy Smith, Eng Gee Lim, Weiping Ding, Yutao Yue",Referring Flexible Image Restoration,Expert Systems with Applications 2025,2024
"Runwei Guan, Liye Jia, Shanliang Yao, Fengyufan Yang, Sheng Xu, Erick Purwanto, Xiaohui Zhu, Ka Lok Man, Eng Gee Lim, Jeremy Smith, Xuming Hu, Yutao Yue",Watervg: Waterway visual grounding based on text-guided vision and mmwave radar,IEEE Transactions on Intelligent Transportation Systems 2025,2024
"Runwei Guan, Ruixiao Zhang, Ningwei Ouyang, Jianan Liu, Ka Lok Man, Xiaohao Cai, Ming Xu, Jeremy Smith, Eng Gee Lim, Yutao Yue, Hui Xiong",Talk2Radar: Bridging Natural Language with 4D mmWave Radar for 3D Referring Expression Comprehension,ICRA 2025,2024
"Yuanyuan Zhang , Rui Yang , Yutao Yue Eng Gee Lim, Zidong Wang",An Overview of Algorithms for Contactless Cardiac Feature Extraction from Radar Signals: Advances and Challenges,IEEE TIM,2024
"Bowen Tian, Zhengyang Xu, Zhihao Yin, Jingying Wang, Yutao Yue",Improving the Classification Effect of Clinical Images of Diseases for Multi-Source Privacy Protection,NIPS 2024 Workshop,2024
"Haocheng Zhao, Runwei Guan, Taoyu Wu, Ka Lok Man, Limin Yu, Yutao Yue",UniBEVFusion: Unified Radar-Vision BEVFusion for 3D Object Detection,ICRA 2025,2024
"Haocheng Zhao, Runwei Guan, Ka Lok Man, Limin Yu, Yutao Yue",RePaIR: Repaired pruning at initialization resilience,Neural Networks,2024
"Changyu Zeng, Wei Wang, Anh Nguyen, Jimin Xiao, Yutao Yue",Self-supervised learning for point cloud data: A survey,Expert Systems with Applications,2024
"Changyu Zeng, Wei Wang, Anh Nguyen, Jimin Xiao, Yutao Yue",Self-Supervised Learning for Point Clouds through Multi-crop Mutual Prediction,2023 IEEE 4th International Conference on Pattern Recognition and Machine Learning (PRML),2024
"Changyu Zeng, Li Liu, Haocheng Zhao, Yu Zhang, Wei Wang, Ning Cai, Yutao Yue",Causal unstructured pruning in linear networks using effective information,2022 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery (CyberC),2024
"Changyu Zeng, Zimu Wang, Jimin Xiao, Anh Nguyen, Kaizhu Huang, Wei Wang,  Yutao Yue",MonoTCM: Semantic-Depth Fusion Transformer for Monocular 3D Object Detection with Token Clustering and Merging,31st International Conference on Neural Information Processing (ICONIP 2024),2024
